Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location
PAUL ET JOSE,Télévendeurs pour produit digital Casablanca - 6000 Dhs - Weekend OFF,https://www.m-job.ma/offres-emploi/114514-televendeurs-pour-produit-digital-casablanca-6000-dhs-weekend-off-casablanca,-Expérience en télévente Obligatoire (min 1 an). -Parfaite maîtrise de la langue française. -Sens commercial aiguisé. -Capacité à identifier rapidement les besoins clients. -Approche client et forte capacité à convaincre. -Le goût du challenge tout en veillant à réaliser un travail de qualité. -Dynamisme. -Directivité. -Adapter son argumentaire commercial à son interlocuteur.,Français,"Paul et José recrute des Télévendeurs pour commercialiser un nouveau produit d’optimisation de Visibilité. Vos missions seront notamment les suivantes : - Mener les actions de prospection, - Comprendre le besoin et mener une bonne phase de découverte, - Proposer la solution adaptée, argumenter, - Conclure les ventes, - Effectuer les relances clients,",CDI,Marketing,Télévendeurs/Télévendeuses pour produit digital Casablanca,Junior (de 3 à 5 ans),BAC,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Casablanca

PAUL ET JOSE,COMMERCIAUX SEDENTAIRES EN B TO B - 6000 DHS ==» 7000 DHS - CASABLANCA,https://www.m-job.ma/offres-emploi/114506-commerciaux-sedentaires-en-b-to-b-6000-dhs-7000-dhs-casablanca-casablanca,"✅ Maitrise parfaite de la langue française ✅Tenaces, dynamiques et ponctuelles ✅ Savoir faire preuve d’écoute ✅ Expérience probante dans la prise de Rendez-vous : Minimum 2 ans . ✅ Maitrise de la relation téléphonique (Ecoute, proactive, élocution, expression) : exigée ✅ Capacité d’adaptation et rapidité d’action ✅ Capacité d’analyse et de synthèse ✅ Bonne connaissance des enjeux du digital.",Français,"Paul & José, agence de communication qui opère sur le marché français. Cela fait 10 ans que nous sommes basés sur Casablanca. Notre expertise est devenue incontournable ! Après notre réussite, nous avons décidé de grandir et d’intégrer de nouveaux CHAMPIONS …. OUI OUI je m’adresse à Vous !! Vous maîtrisez parfaitement le français à l’oral ? Vous êtes dotez d’une expérience probante dans la télévente ? Vous êtes passionné par le digital ? Vous avez le sens de l’écoute et une fibre commerciale développée ? Et Vous cherchez la stabilité ? Qu’attendez-vous !! Postulez Maintenant … Ce poste est fait pour vous !! Nous sommes à la recherche active des commerciaux sédentaires en TELEVENTE B2B . Vos principales missions consisteront à : - Décrocher un rendez-vous de qualité - Mettre en œuvre les techniques de vente et de négociation - Assurer une prestation de qualité - Détecter les besoins de vos clients et les conseiller - Veiller à atteindre les objectifs qualitatifs et quantitatifs fixés par la direction",CDI,Marketing,COMMERCIAUX SEDENTAIRES EN B TO B,Junior (de 3 à 5 ans),BAC,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Casablanca

Gomycode,Socials & Content lead (Morocco),https://www.m-job.ma/offres-emploi/114438-socials-content-lead-morocco-casablanca,"Company Description - About us We are building the future of digital learning in the African continent. For us it is key to excel in everything that we do, and this starts with the people that we hire. GoMyCode is an educational platform that trains top talents on the newest skills and connects them with digital opportunities around the world. At GoMyCode, we provide high-end education on cutting-edge technologies with a focus on projects in an environment that leaves lasting impressions and positively impacts our student lives. Job Description Assist in planning and organizing online and physical events (both external and internal) Create english and french content for our social media Assist the production team and guarantee quality output Participate in brainstorming sessions Assist the marketing team in all activities (production, campaigns, projects….) Ensure the smooth running of daily marketing operations. Create content for our different marketing channels and campaigns Interact with our online community Others could possibly be linked to the position according to the needs of the team. Qualifications The Socials & Content lead should be: Comfortable with French and English languages Proactive and have a sense of initiative. Creative and curious A people person An excellent listener Passionate and deeply committed to the subject matter. Excellent Communicator Community Builder Strong ethic worker Bring his Big Smile. Small Smiles are not accepted. Required education and experience You have a university degree from a top school. Our Offer: You will join a world-class team, determined to disrupt our industry. You will take part in the evolution and expansion of GOMYCODE on an international level You will feel the excitement of building a start-up and making decisions impacting the whole team.",Français / Anglais,"Chez GOMYCODE, nous construisons l'avenir de l'apprentissage numérique en Afrique et au Moyen-Orient en rendant les programmes de formation technologique accessibles à tous! Nous sommes une startup Edtech, une organisation privilégiant les étudiants qui les pousse à travailler sur des projets pratiques. Notre mission est de donner à chacun la possibilité et de l'encourager à réaliser son potentiel académique dans un environnement d'apprentissage actif.",CDI / CDD,Communication / Publicité / Marketing,"Socials & Content lead - GOMYCODE Morocco Morocco, Casablanca Full-time",Débutant (de 1 à 3 ans),BAC+3,A négocier,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Casablanca

delta marketing solution,Agent Mailer,https://www.m-job.ma/offres-emploi/114433-agent-mailer-16-tanger,"-Titulaire d'un Bac+2 ou Bac+3 de préférence en informatique; - Un certain niveau d'anglais est requis. Critères souhaitables: -Ambitieux et désireux d’apprendre, de grandir et d’évoluer au sein de l’entreprise. -Sens de responsabilité et du respect des délais ; -Flexibilité quant aux horaires appliqués au sein de l'entreprise; -Intérêt pour les technologies numériques ; -Avoir un bon esprit de travail en équipe.",Anglais,"Delta Marketing Solution est une société installée sur Tanger spécialisée dans l‘Email Marketing. Nous sommes à la recherche des agents mailer, avec ou sans expérience, pour embauche immédiat.",CDI,Marketing,"Assurer l'envoi quotidien des emails, dans ce sens vous participez à l'optimisation des offres et des ressources attribuées. -Intégration des offres (préparation Subjects, Creatives) ; -Effectuer une série de tests pour assurer l'envoi des offres ; -Assurer un suivi permanent des envois en terme de revenu ; -Participer à l'optimisation des offres et des ressources attribuées. Nous vous offrons: Un poste stable; Un salaire motivant; Environnement professionnel qui vous permet de développer votre carrière; Nous reconnaissons les employés pour leurs travail avec des primes attrayantes.",Fraichement diplômé,BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Marketing,Tanger

GLOBE CONNECT,Chargés de clientéle Francophones,https://www.m-job.ma/offres-emploi/114196-charges-de-clientele-francophones-10-casablanca,"Expérience dans un poste similaire est un atout Français courant ainsi qu’une langue supplémentaire, espagnol ou anglais Maitrise des outils informatiques courants Esprit d'équipe et bonnes capacités de communication Disponibilité immédiate. Salaire net de Dh 5 000.00",Français,Centre d'appel basé à Casablanca,CDI,Marketing,"Réception des appels de nos clients pour assurer un suivi à leurs demandes, Effectuer le suivi et le traitement des incidents, Établir un diagnostic complet des incidents,",Débutant (de 1 à 3 ans),BAC,de 4000 dh à 6000 dh,L'offre a été publiée il y a 2 mois avant sur le site.,Marketing,Casablanca

Business Service,commercial telephonique,https://www.m-job.ma/offres-emploi/113981-commercial-telephonique-2-casablanca,"Expérience probante dans la prise de Rendez-vous Vous maîtrisez parfaitement le français à l’oral comme à l’écrit, une expression fluide, un fort tempérament commercial. ous avez une Vous avez un bon relationnel, une grande capacité d’écoute et d’adaptation et Rapidité d’action Vous êtes Tenaces, dynamiques et ponctuelles Avoir soif de primes",Français,centre d'appel pour un client français one business service challenges journaliers et des primes de rendements mensuelles non plafonnés V • Un cadre de travail motivant très agréable et convivial •,CDI,Marketing,Recrute expert en prise de RDV dans l’Energie renouvelableet CPF • Une formation de qualité 100% • Une montée en compétences • De réelles perspectives d'évolution de carrières en interne Si vous êtes intéressésr,Fraichement diplômé,BAC,de 4000 dh à 6000 dh,L'offre a été publiée il y a 3 mois avant sur le site.,Marketing,Casablanca

AB2KSELL,Commercial sédentaire,https://www.m-job.ma/offres-emploi/113832-commercial-sedentaire-33-rabat,•Parfaite maîtrise de la langue française à l'oral et à l'écrit. • Expérience obligatoire en call center de minimum 6mois. • Bonnes connaissances des techniques de vente. •Capacité à identifier rapidement les besoins clients. • Forte capacités à créer et tenir un échange avec un client au téléphone. • Forte capacité à convaincre et à négocier. • Goût pour le challenge et le dépassement de soi. • Une formation en commerce est un plus.,Français,"Nous recherchons des commerciaux pour un projet en B to B, une excellente élocution bien évidement une maitrise parfaite de la langue Française. Nous vous proposons un salaire fixe de 8000 dhs, plus des primes déplafonnées. Nous travaillons sur un fichier ciblé, où la prospection est une partie de plaisir, tous les contacts sont des clients potentiels, vous avez la fibre commerciale, votre sens du dialogue et du relationnel sont les atouts qui vous permettent d’atteindre des salaires de 20.000 dhs et PLUS. Nous précisons que ce n’est ni un projet assurance ni Mutuelle……….",CDI,Marketing,Commercial,Débutant (de 1 à 3 ans),BAC,de 6000 dh à 8000 dh,L'offre a été publiée il y a 3 mois avant sur le site.,Marketing,Rabat

AB2KSELL,Conseillers/Commerciaux parlant Français,https://www.m-job.ma/offres-emploi/113822-conseillerscommerciaux-parlant-francais-17-rabat,•Parfaite maîtrise de la langue française à l'oral et à l'écrit. • Expérience obligatoire en call center de minimum 6mois. • Bonnes connaissances des techniques de vente. •Capacité à identifier rapidement les besoins clients. • Forte capacités à créer et tenir un échange avec un client au téléphone. • Forte capacité à convaincre et à négocier. • Goût pour le challenge et le dépassement de soi. • Une formation en commerce est un plus.,Français,"Vous êtes de ceux qui cherchent les challenges qui veulent remplir leur compte bancaire rejoignez-nous. Nous vous proposons un salaire fixe de 7000 dhs Plus bien évidement des primes hebdomadaires et mensuelles. Nous recrutons des Télévendeurs expérimentés en Emission d'appels sur Rabat/ Agdal votre mission et de vendre des produits à haute valeur ajoutée. Avant de prendre en charge votre mission, une formation de Qualité complète est assurée, une équipe conviviale vous accompagne tout au long de votre parcours d’intégration. Afin de vous préparer aux responsabilités qui vous seront confiées.",CDI,Marketing,Commercial,Débutant (de 1 à 3 ans),BAC,de 6000 dh à 8000 dh,L'offre a été publiée il y a 3 mois avant sur le site.,Marketing,Rabat
